COBACIA,ire_cs_hum
77614372,"0,00"
7761451,"0,00"
77617474,"0,00"
77617442,"0,00"
77617471,"0,00"
7761745,"0,00"
77617473,"0,00"
77617443,"0,00"
77613961,"0,00"
77613971,"0,00"
77613975,"0,00"
77613973,"0,00"
77613963,"0,00"
7761415,"0,00"
7761414,"0,00"
7761413,"0,00"
77613964,"0,00"
776139651,"0,00"
77613962,"0,00"
7761436,"5,00"
77617432,"5,00"
7761715,"5,00"
77617441,"0,00"
77617433,"0,00"
7761741,"0,00"
7761742,"0,00"
7761435,"0,00"
77617431,"0,00"
7761423,"4,00"
7761431,"0,00"
77614343,"0,00"
7761433,"0,00"
77614212,"0,00"
77614211,"4,00"
77614341,"0,00"
77614213,"4,00"
77614342,"0,00"
7761432,"0,00"
77617521,"0,00"
77617523,"0,00"
7761422,"0,00"
776139672,"0,00"
77613943,"5,00"
77613942,"0,00"
77613945,"0,00"
77616122,"0,00"
77613983,"0,00"
77616182,"0,00"
77616123,"0,00"
77613947,"0,00"
77613946,"0,00"
77616185,"0,00"
77616184,"0,00"
7761621,"4,00"
7761625,"0,00"
7761623,"0,00"
77616181,"0,00"
7761629,"0,00"
77616183,"0,00"
7761619,"5,00"
7761615,"0,00"
776172151,"0,00"
776172141,"0,00"
7761614,"0,00"
776172153,"0,00"
77617212,"0,00"
776172143,"0,00"
776172142,"0,00"
77617213,"0,00"
77613933,"0,00"
77613953,"0,00"
77613951,"0,00"
77613941,"0,00"
77613952,"0,00"
77613972,"0,00"
7761443,"3,00"
7761474,"0,00"
77614733,"0,00"
7761442,"0,00"
77614732,"0,00"
7761444,"0,00"
